clusterer,condition,reducer,reduction_level,mean_ari,baseline_ari,n_units,n_nonzero,wins,ties,losses,mean_delta_ari,median_delta_ari,rank_biserial,statistic,p_raw,p_holm_60,p_holm_15
KMeans,PCA__k_minus_1,PCA,k_minus_1,0.23027471288164042,0.23050373409767749,20,17,5,3,12,-0.00022902121603701875,-0.0010596162676681465,-0.34640522875816993,65,0.91692639134183862,1,1
KMeans,PCA__25_percent,PCA,25_percent,0.23615052098425574,0.23050373409767749,20,15,4,5,11,0.0056467868865782726,-0.00028334788281360031,-0.29999999999999999,62,0.90958343329841507,1,1
KMeans,PCA__50_percent,PCA,50_percent,0.22987405602719022,0.23050373409767749,20,13,7,7,6,-0.00062967807048724055,0,0.032967032967032968,96,0.4241101247453764,1,1
KMeans,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.2500297091253057,0.23050373409767749,20,20,12,0,8,0.019525975027628178,0.01248132213343299,0.40000000000000002,147,0.06154632568359375,1,0.92319488525390625
KMeans,KernelPCA__25_percent,KernelPCA,25_percent,0.2389354640527675,0.23050373409767749,20,20,10,0,10,0.0084317299550899765,0.0009239975518946454,0.057142857142857141,111,0.42041110992431641,1,1
KMeans,KernelPCA__50_percent,KernelPCA,50_percent,0.24389566757192779,0.23050373409767749,20,20,12,0,8,0.013391933474250366,0.0088823627889208917,0.33333333333333331,140,0.10122489929199219,1,1
KMeans,VAE__k_minus_1,VAE,k_minus_1,0.24228733744708428,0.23050373409767749,20,20,10,0,10,0.011783603349406846,0.00015740441725714538,0.18095238095238095,124,0.24900436401367188,1,1
KMeans,VAE__25_percent,VAE,25_percent,0.24485903483215049,0.23050373409767749,20,20,11,0,9,0.014355300734473006,0.00065222397501727694,0.21904761904761905,128,0.20454883575439453,1,1
KMeans,VAE__50_percent,VAE,50_percent,0.24220012862398158,0.23050373409767749,20,20,10,0,10,0.011696394526304107,-0.00027071098947416099,0.13333333333333333,119,0.31075668334960938,1,1
KMeans,Isomap__k_minus_1,Isomap,k_minus_1,0.25134652183654244,0.23050373409767749,20,20,13,0,7,0.020842787738865044,0.0090150368751005516,0.26666666666666666,133,0.15589714050292969,1,1
KMeans,Isomap__25_percent,Isomap,25_percent,0.23541453511773486,0.23050373409767749,20,20,11,0,9,0.0049108010200573969,0.0034322772652879592,-0.0095238095238095247,104,0.5218353271484375,1,1
KMeans,Isomap__50_percent,Isomap,50_percent,0.24951211806592655,0.23050373409767749,20,20,12,0,8,0.019008383968249089,0.0058927577701706584,0.18095238095238095,124,0.24900436401367188,1,1
KMeans,MDS__k_minus_1,MDS,k_minus_1,0.22728271426674868,0.23050373409767749,20,20,7,0,13,-0.0032210198309288425,-0.0024211670340120381,-0.23809523809523808,80,0.82559490203857422,1,1
KMeans,MDS__25_percent,MDS,25_percent,0.22699653450627899,0.23050373409767749,20,18,10,2,8,-0.00350719959139848,0.0002525496737355859,0.064327485380116955,111,0.38964698170156081,1,1
KMeans,MDS__50_percent,MDS,50_percent,0.23222663032765695,0.23050373409767749,20,16,7,4,9,0.0017228962299794786,0,0.044117647058823532,99,0.51496852317134434,1,1
AHC,PCA__k_minus_1,PCA,k_minus_1,0.16798475396240392,0.13675853209336172,20,14,10,6,4,0.031226221869042226,1.5559931978781358e-05,0.46666666666666667,137,0.05343671042250997,1,0.37405697295756979
AHC,PCA__25_percent,PCA,25_percent,0.15942336502387949,0.13675853209336172,20,12,6,8,6,0.022664832930517763,0,0,87,0.5,1,1
AHC,PCA__50_percent,PCA,50_percent,0.14551867256010909,0.13675853209336172,20,10,4,10,6,0.0087601404667473643,0,-0.018181818181818181,67,0.66321946258574094,1,1
AHC,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.2507228819053931,0.13675853209336172,20,20,16,0,4,0.11396434981203137,0.090698160479545042,0.68571428571428572,177,0.0027904510498046875,0.16742706298828125,0.041856765747070312
AHC,KernelPCA__25_percent,KernelPCA,25_percent,0.24378302317424425,0.13675853209336172,20,20,14,0,6,0.10702449108088249,0.066948653369439351,0.56190476190476191,164,0.0133209228515625,0.7060089111328125,0.15985107421875
AHC,KernelPCA__50_percent,KernelPCA,50_percent,0.25012968079307119,0.13675853209336172,20,19,14,1,5,0.1133711486997095,0.093959129251121043,0.68421052631578949,174,0.0047285458857938209,0.26479856960445397,0.061471096515319672
AHC,VAE__k_minus_1,VAE,k_minus_1,0.18582285267567342,0.13675853209336172,20,19,12,1,7,0.049064320582311707,0.0045894430789477029,0.51578947368421058,156,0.027242064037843919,1,0.24517857634059526
AHC,VAE__25_percent,VAE,25_percent,0.1833868182674494,0.13675853209336172,20,20,12,0,8,0.046628286174087701,0.0037008591966738607,0.40952380952380951,148,0.056993484497070312,1,0.37405697295756979
AHC,VAE__50_percent,VAE,50_percent,0.18737723475191601,0.13675853209336172,20,20,14,0,6,0.050618702658554296,0.0052444060003490134,0.51428571428571423,159,0.022027015686035156,1,0.22027015686035156
AHC,Isomap__k_minus_1,Isomap,k_minus_1,0.16394626883244195,0.13675853209336172,20,17,12,3,5,0.027187736739080266,0.0037552541804064393,0.49019607843137253,150,0.036219049625223147,1,0.28975239700178518
AHC,Isomap__25_percent,Isomap,25_percent,0.17728678380809135,0.13675853209336172,20,14,12,6,2,0.04052825171472961,0.0051107258323079023,0.75238095238095237,164,0.0041851070208436623,0.24273620720893241,0.058591498291811275
AHC,Isomap__50_percent,Isomap,50_percent,0.15984228877809706,0.13675853209336172,20,13,10,7,3,0.0230837566847353,0.0008242588094005002,0.69230769230769229,147,0.016033870564194037,0.83376126933808992,0.17637257620613442
AHC,MDS__k_minus_1,MDS,k_minus_1,0.15433618152041853,0.13675853209336172,20,11,7,9,4,0.017577649427056818,0,0.33333333333333331,107,0.16758485248389698,1,0.67033940993558794
AHC,MDS__25_percent,MDS,25_percent,0.1417705758986898,0.13675853209336172,20,11,6,9,5,0.0050120438053280853,0,0.030303030303030304,88,0.41435639863082313,1,1
AHC,MDS__50_percent,MDS,50_percent,0.14428451790232513,0.13675853209336172,20,8,6,12,2,0.0075259858089634091,0,0.55555555555555558,100,0.074479306587272059,1,0.37405697295756979
GMM,PCA__k_minus_1,PCA,k_minus_1,0.23366280545468349,0.27929892976167542,20,20,12,0,8,-0.045636124306991967,0.0033236716778092127,-0.0095238095238095247,104,0.5218353271484375,1,1
GMM,PCA__25_percent,PCA,25_percent,0.229784134769038,0.27929892976167542,20,20,9,0,11,-0.049514794992637418,-0.0060063998613814401,-0.37142857142857144,66,0.92854690551757812,1,1
GMM,PCA__50_percent,PCA,50_percent,0.23064015368534471,0.27929892976167542,20,20,13,0,7,-0.04865877607633072,0.0078775660570159223,0.12380952380952381,118,0.32382774353027344,1,1
GMM,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.23618247408123202,0.27929892976167542,20,20,8,0,12,-0.04311645568044345,-0.003333940836432854,-0.2857142857142857,75,0.86945056915283203,1,1
GMM,KernelPCA__25_percent,KernelPCA,25_percent,0.22323450464464006,0.27929892976167542,20,20,8,0,12,-0.056064425117035355,-0.0092781385979821725,-0.26666666666666666,77,0.85287380218505859,1,1
GMM,KernelPCA__50_percent,KernelPCA,50_percent,0.24554579681082384,0.27929892976167542,20,20,9,0,11,-0.033753132950851542,-0.0039137376660907351,-0.14285714285714285,90,0.71470165252685547,1,1
GMM,VAE__k_minus_1,VAE,k_minus_1,0.22872067698252474,0.27929892976167542,20,20,9,0,11,-0.050578252779150679,-0.00092812243118596798,-0.19047619047619047,85,0.77381229400634766,1,1
GMM,VAE__25_percent,VAE,25_percent,0.25015295737527399,0.27929892976167542,20,20,9,0,11,-0.02914597238640141,-0.0035851084614414801,-0.15238095238095239,89,0.72706222534179688,1,1
GMM,VAE__50_percent,VAE,50_percent,0.25201406338618043,0.27929892976167542,20,20,10,0,10,-0.027284866375494994,0.0033146302409966513,-0.10476190476190476,94,0.66288852691650391,1,1
GMM,Isomap__k_minus_1,Isomap,k_minus_1,0.23232497157254395,0.27929892976167542,20,20,7,0,13,-0.046973958189131457,-0.012491946452476525,-0.35238095238095241,68,0.91752147674560547,1,1
GMM,Isomap__25_percent,Isomap,25_percent,0.23920159137900732,0.27929892976167542,20,20,9,0,11,-0.040097338382668067,-0.0026998808593281035,-0.21904761904761905,82,0.80581188201904297,1,1
GMM,Isomap__50_percent,Isomap,50_percent,0.23785834872094308,0.27929892976167542,20,20,10,0,10,-0.041440581040732317,-5.8348675455746624e-05,-0.21904761904761905,82,0.80581188201904297,1,1
GMM,MDS__k_minus_1,MDS,k_minus_1,0.23467181984054322,0.27929892976167542,20,20,8,0,12,-0.044627109921132183,-0.003462154574782491,-0.20000000000000001,84,0.78478336334228516,1,1
GMM,MDS__25_percent,MDS,25_percent,0.23250627766508519,0.27929892976167542,20,20,11,0,9,-0.046792652096590219,0.0051313485537363146,-0.19047619047619047,85,0.77381229400634766,1,1
