row,column,mean_row,mean_column,n_units,n_nonzero,wins,ties,losses,mean_delta_ari,median_delta_ari,rank_biserial,statistic,p_raw,p_holm
None,PCA,0.1858785528326366,0.20444989586382611,20,20,6,0,14,-0.018571343031189461,-0.0039250599582190161,-0.35238095238095241,68,0.17685317993164062,0.92187881469726562
None,KernelPCA,0.1858785528326366,0.23644228530505865,20,20,4,0,16,-0.050563732472422053,-0.037514251308695998,-0.79047619047619044,22,0.0010166168212890625,0.014232635498046875
None,VAE,0.1858785528326366,0.21918952141992132,20,20,3,0,17,-0.033310968587284703,-0.0141460804534958,-0.81904761904761902,19,0.0005855560302734375,0.0087833404541015625
None,Isomap,0.1858785528326366,0.20986817234627764,20,20,5,0,15,-0.02398961951364106,-0.012072134178125332,-0.54285714285714282,48,0.03276824951171875,0.36045074462890625
None,MDS,0.1858785528326366,0.19561521451986308,20,20,6,0,14,-0.0097366616872264743,-0.0035346164445286248,-0.33333333333333331,70,0.20244979858398438,0.92187881469726562
PCA,KernelPCA,0.20444989586382611,0.23644228530505865,20,20,6,0,14,-0.031992389441232588,-0.021644659628448575,-0.48571428571428571,54,0.058258056640625,0.524322509765625
PCA,VAE,0.20444989586382611,0.21918952141992132,20,20,7,0,13,-0.014739625556095237,-0.0052540046326731652,-0.41904761904761906,61,0.10539817810058594,0.8431854248046875
PCA,Isomap,0.20444989586382611,0.20986817234627764,20,20,9,0,11,-0.0054182764824516009,-0.0065058183234697961,-0.19047619047619047,85,0.47490501403808594,1
PCA,MDS,0.20444989586382611,0.19561521451986308,20,20,12,0,8,0.0088346813439629853,0.0012478297352349031,0.20000000000000001,84,0.45237541198730469,1
KernelPCA,VAE,0.23644228530505865,0.21918952141992132,20,20,14,0,6,0.01725276388513735,0.01973452695868123,0.41904761904761906,61,0.10539817810058594,0.8431854248046875
KernelPCA,Isomap,0.23644228530505865,0.20986817234627764,20,20,13,0,7,0.026574112958780993,0.016826911193481828,0.54285714285714282,48,0.03276824951171875,0.36045074462890625
KernelPCA,MDS,0.23644228530505865,0.19561521451986308,20,20,13,0,7,0.040827070785195575,0.023788588003074672,0.63809523809523805,38,0.01068878173828125,0.128265380859375
VAE,Isomap,0.21918952141992132,0.20986817234627764,20,20,10,0,10,0.0093213490736436377,0.0012263650306183031,0.11428571428571428,93,0.67422294616699219,1
VAE,MDS,0.21918952141992132,0.19561521451986308,20,20,15,0,5,0.023574306900058229,0.016169865000247044,0.64761904761904765,37,0.0094356536865234375,0.12266349792480469
Isomap,MDS,0.20986817234627764,0.19561521451986308,20,20,10,0,10,0.014252957826414586,0.0047641278933205009,0.37142857142857144,66,0.15364646911621094,0.92187881469726562
