clusterer,condition,reducer,reduction_level,mean_ari,baseline_ari,n_units,n_nonzero,wins,ties,losses,mean_delta_ari,median_delta_ari,rank_biserial,statistic,p_raw,p_holm_60,p_holm_15
OPTICS,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.24969537310299877,0.096953015377831825,20,18,15,2,3,0.15274235772516692,0.055024176581186079,0.69590643274853803,175,0.0037743703823128662,0.22268785255645912,0.056615555734692992
OPTICS,VAE__k_minus_1,VAE,k_minus_1,0.23971091326878979,0.096953015377831825,20,18,14,2,4,0.14275789789095797,0.051146828751726062,0.66081871345029242,170,0.0064814316844034924,0.35647874264219209,0.0842586118972454
OPTICS,Isomap__k_minus_1,Isomap,k_minus_1,0.21794979091531883,0.096953015377831825,20,17,12,3,5,0.12099677553748703,0.024238050470280548,0.60784313725490191,159,0.016455334688464249,0.83376126933808992,0.17637808243473599
AHC,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.2507228819053931,0.13675853209336172,20,20,16,0,4,0.11396434981203137,0.090698160479545042,0.68571428571428572,177,0.0027904510498046875,0.16742706298828125,0.041856765747070312
OPTICS,PCA__k_minus_1,PCA,k_minus_1,0.20350815201649902,0.096953015377831825,20,16,11,4,5,0.10655513663866718,0.010274505931651899,0.48529411764705882,145,0.04562697391424389,1,0.33991031659335413
OPTICS,MDS__25_percent,MDS,25_percent,0.20303029029072706,0.096953015377831825,20,13,9,7,4,0.10607727491289524,0,0.60439560439560436,136,0.042488789574169267,1,0.33991031659335413
AHC,VAE__50_percent,VAE,50_percent,0.18737723475191601,0.13675853209336172,20,20,14,0,6,0.050618702658554296,0.0052444060003490134,0.51428571428571423,159,0.022027015686035156,1,0.22027015686035156
AHC,Isomap__25_percent,Isomap,25_percent,0.17728678380809135,0.13675853209336172,20,14,12,6,2,0.04052825171472961,0.0051107258323079023,0.75238095238095237,164,0.0041851070208436623,0.24273620720893241,0.058591498291811275
AHC,PCA__k_minus_1,PCA,k_minus_1,0.16798475396240392,0.13675853209336172,20,14,10,6,4,0.031226221869042226,1.5559931978781358e-05,0.46666666666666667,137,0.05343671042250997,1,0.37405697295756979
KMeans,Isomap__k_minus_1,Isomap,k_minus_1,0.25134652183654244,0.23050373409767749,20,20,13,0,7,0.020842787738865044,0.0090150368751005516,0.26666666666666666,133,0.15589714050292969,1,1
KMeans,KernelPCA__k_minus_1,KernelPCA,k_minus_1,0.2500297091253057,0.23050373409767749,20,20,12,0,8,0.019525975027628178,0.01248132213343299,0.40000000000000002,147,0.06154632568359375,1,0.92319488525390625
AHC,MDS__k_minus_1,MDS,k_minus_1,0.15433618152041853,0.13675853209336172,20,11,7,9,4,0.017577649427056818,0,0.33333333333333331,107,0.16758485248389698,1,0.67033940993558794
KMeans,VAE__25_percent,VAE,25_percent,0.24485903483215049,0.23050373409767749,20,20,11,0,9,0.014355300734473006,0.00065222397501727694,0.21904761904761905,128,0.20454883575439453,1,1
KMeans,PCA__25_percent,PCA,25_percent,0.23615052098425574,0.23050373409767749,20,15,4,5,11,0.0056467868865782726,-0.00028334788281360031,-0.29999999999999999,62,0.90958343329841507,1,1
KMeans,MDS__50_percent,MDS,50_percent,0.23222663032765695,0.23050373409767749,20,16,7,4,9,0.0017228962299794786,0,0.044117647058823532,99,0.51496852317134434,1,1
GMM,VAE__50_percent,VAE,50_percent,0.25201406338618043,0.27929892976167542,20,20,10,0,10,-0.027284866375494994,0.0033146302409966513,-0.10476190476190476,94,0.66288852691650391,1,1
GMM,KernelPCA__50_percent,KernelPCA,50_percent,0.24554579681082384,0.27929892976167542,20,20,9,0,11,-0.033753132950851542,-0.0039137376660907351,-0.14285714285714285,90,0.71470165252685547,1,1
GMM,Isomap__25_percent,Isomap,25_percent,0.23920159137900732,0.27929892976167542,20,20,9,0,11,-0.040097338382668067,-0.0026998808593281035,-0.21904761904761905,82,0.80581188201904297,1,1
GMM,MDS__k_minus_1,MDS,k_minus_1,0.23467181984054322,0.27929892976167542,20,20,8,0,12,-0.044627109921132183,-0.003462154574782491,-0.20000000000000001,84,0.78478336334228516,1,1
GMM,PCA__k_minus_1,PCA,k_minus_1,0.23366280545468349,0.27929892976167542,20,20,12,0,8,-0.045636124306991967,0.0033236716778092127,-0.0095238095238095247,104,0.5218353271484375,1,1
