family,n_clusters,n_features,n_samples,clusterer,reducer,reduction_level,condition,ari,replicates,unit
circles,2,10,2000,AHC,Isomap,25_percent,Isomap__25_percent,0.65000909121498907,50,circles|2|10|2000
circles,2,10,2000,AHC,Isomap,50_percent,Isomap__50_percent,0.62189891072360437,50,circles|2|10|2000
circles,2,10,2000,AHC,Isomap,k_minus_1,Isomap__k_minus_1,0.58499053962998349,50,circles|2|10|2000
circles,2,10,2000,AHC,KernelPCA,25_percent,KernelPCA__25_percent,0.82780316385706643,50,circles|2|10|2000
circles,2,10,2000,AHC,KernelPCA,50_percent,KernelPCA__50_percent,0.83657200372570428,50,circles|2|10|2000
circles,2,10,2000,AHC,KernelPCA,k_minus_1,KernelPCA__k_minus_1,0.83404139423550916,50,circles|2|10|2000
circles,2,10,2000,AHC,MDS,25_percent,MDS__25_percent,0.13025749259873121,50,circles|2|10|2000
circles,2,10,2000,AHC,MDS,50_percent,MDS__50_percent,0.12799743825574222,50,circles|2|10|2000
circles,2,10,2000,AHC,MDS,k_minus_1,MDS__k_minus_1,0.12701912829031214,50,circles|2|10|2000
circles,2,10,2000,AHC,None,original,None__original,0.14069885731873455,50,circles|2|10|2000
circles,2,10,2000,AHC,PCA,25_percent,PCA__25_percent,0.13347058605006309,50,circles|2|10|2000
circles,2,10,2000,AHC,PCA,50_percent,PCA__50_percent,0.12904763861096735,50,circles|2|10|2000
circles,2,10,2000,AHC,PCA,k_minus_1,PCA__k_minus_1,0.12524030634853137,50,circles|2|10|2000
circles,2,10,2000,AHC,VAE,25_percent,VAE__25_percent,0.1407897968386288,50,circles|2|10|2000
circles,2,10,2000,AHC,VAE,50_percent,VAE__50_percent,0.14667486733277713,50,circles|2|10|2000
circles,2,10,2000,AHC,VAE,k_minus_1,VAE__k_minus_1,0.14771226523252357,50,circles|2|10|2000
circles,2,10,2000,GMM,Isomap,25_percent,Isomap__25_percent,0.93851271440359096,50,circles|2|10|2000
circles,2,10,2000,GMM,Isomap,50_percent,Isomap__50_percent,0.95302549286364024,50,circles|2|10|2000
circles,2,10,2000,GMM,Isomap,k_minus_1,Isomap__k_minus_1,0.82265530093867445,50,circles|2|10|2000
circles,2,10,2000,GMM,KernelPCA,25_percent,KernelPCA__25_percent,0.68293476470507597,50,circles|2|10|2000
circles,2,10,2000,GMM,KernelPCA,50_percent,KernelPCA__50_percent,0.83510625818629591,50,circles|2|10|2000
circles,2,10,2000,GMM,KernelPCA,k_minus_1,KernelPCA__k_minus_1,0.64321834879830231,50,circles|2|10|2000
circles,2,10,2000,GMM,MDS,25_percent,MDS__25_percent,-6.4919752358860643e-05,50,circles|2|10|2000
circles,2,10,2000,GMM,MDS,50_percent,MDS__50_percent,0.00041482813344054692,50,circles|2|10|2000
circles,2,10,2000,GMM,MDS,k_minus_1,MDS__k_minus_1,-0.00017482843988054171,50,circles|2|10|2000
circles,2,10,2000,GMM,None,original,None__original,5.0886626636010117e-05,50,circles|2|10|2000
circles,2,10,2000,GMM,PCA,25_percent,PCA__25_percent,0.00028060256993288368,50,circles|2|10|2000
circles,2,10,2000,GMM,PCA,50_percent,PCA__50_percent,0.00043754493737793645,50,circles|2|10|2000
circles,2,10,2000,GMM,PCA,k_minus_1,PCA__k_minus_1,0.00018216147509785168,50,circles|2|10|2000
circles,2,10,2000,GMM,VAE,25_percent,VAE__25_percent,0.021734045129621737,50,circles|2|10|2000
circles,2,10,2000,GMM,VAE,50_percent,VAE__50_percent,0.066513579975868958,50,circles|2|10|2000
circles,2,10,2000,GMM,VAE,k_minus_1,VAE__k_minus_1,0.011388601085937512,50,circles|2|10|2000
circles,2,10,2000,KMeans,Isomap,25_percent,Isomap__25_percent,0.66243610030552347,50,circles|2|10|2000
circles,2,10,2000,KMeans,Isomap,50_percent,Isomap__50_percent,0.66340198299956588,50,circles|2|10|2000
circles,2,10,2000,KMeans,Isomap,k_minus_1,Isomap__k_minus_1,0.59630450475929875,50,circles|2|10|2000
circles,2,10,2000,KMeans,KernelPCA,25_percent,KernelPCA__25_percent,0.67920440992182207,50,circles|2|10|2000
circles,2,10,2000,KMeans,KernelPCA,50_percent,KernelPCA__50_percent,0.80989473060895545,50,circles|2|10|2000
circles,2,10,2000,KMeans,KernelPCA,k_minus_1,KernelPCA__k_minus_1,0.68122554010414438,50,circles|2|10|2000
circles,2,10,2000,KMeans,MDS,25_percent,MDS__25_percent,-0.00035685491366880645,50,circles|2|10|2000
circles,2,10,2000,KMeans,MDS,50_percent,MDS__50_percent,-0.00034139797621990771,50,circles|2|10|2000
circles,2,10,2000,KMeans,MDS,k_minus_1,MDS__k_minus_1,-0.00039070271185333294,50,circles|2|10|2000
circles,2,10,2000,KMeans,None,original,None__original,-0.0003424622795814728,50,circles|2|10|2000
circles,2,10,2000,KMeans,PCA,25_percent,PCA__25_percent,-0.00034788558297601954,50,circles|2|10|2000
