condition,scope,mean_delta,wins
Isomap__25_percent,real,-0.040097338382668074,45
Isomap__25_percent,synthetic,0.033685943877413728,48.583690987124463
Isomap__50_percent,real,-0.041440581040732317,50
Isomap__50_percent,synthetic,0.065370355115377463,52.875536480686691
Isomap__k_minus_1,real,-0.046973958189131457,35
Isomap__k_minus_1,synthetic,-0.0023701384268774743,50.643776824034333
KernelPCA__25_percent,real,-0.056064425117035355,40
KernelPCA__25_percent,synthetic,0.12468965075492158,48.412017167381975
KernelPCA__50_percent,real,-0.033753132950851542,45
KernelPCA__50_percent,synthetic,0.13275307374417356,47.124463519313302
KernelPCA__k_minus_1,real,-0.043116455680443443,40
KernelPCA__k_minus_1,synthetic,0.12255108573745153,47.038626609442055
MDS__25_percent,real,-0.046792652096590226,55.000000000000007
MDS__25_percent,synthetic,-0.023895791964517424,28.497854077253219
MDS__50_percent,real,-0.045616975334961805,45
MDS__50_percent,synthetic,-0.015697647596900215,31.673819742489272
MDS__k_minus_1,real,-0.044627109921132183,40
MDS__k_minus_1,synthetic,-0.094324417542332201,24.120171673819744
PCA__25_percent,real,-0.049514794992637418,45
PCA__25_percent,synthetic,-0.02256404211140927,31.072961373390555
PCA__50_percent,real,-0.048658776076330727,65
PCA__50_percent,synthetic,-0.006978760212262021,31.244635193133046
PCA__k_minus_1,real,-0.04563612430699196,60
PCA__k_minus_1,synthetic,-0.003340798897511071,36.137339055793994
VAE__25_percent,real,-0.02914597238640141,45
VAE__25_percent,synthetic,-0.025406133960507622,36.480686695278969
VAE__50_percent,real,-0.027284866375494994,50
VAE__50_percent,synthetic,-0.0097894759481728134,41.459227467811161
VAE__k_minus_1,real,-0.050578252779150693,45
VAE__k_minus_1,synthetic,-0.045549687416019773,41.115879828326179
